,word,score,word_count
89,each,-0.00019560118904481954,37
90,day,-0.0001733863114255229,69
91,is,-0.0001792708803873577,1951
92,a,-0.00020948750202125625,2574
93,new,0.00012203799486915613,76
94,"beginning,",0.0010206020809740341,1
95,waiting,6.881162782726349e-05,10
96,for,-9.683604121758424e-06,1155
97,out,-0.00023712598662544877,332
98,there.,-0.00010198888330003037,50
99,as,-0.00010585507001106602,607
100,move,-8.660209600714862e-05,25
101,"forward,",0.00021968395277099259,3
102,will,-0.0001825235169719217,354
103,remove,-0.0002891388487927947,3
104,many,0.00040849850593191066,264
105,from,9.029853630011767e-05,378
106,your,0.00013983100279798042,199
107,aren't,-9.920353117966203e-05,34
108,required,0.0004506095499796932,4
109,and,-3.1623679744074435e-05,3262
110,actually,-0.00035491585863485226,41
111,reach,4.174876663006587e-05,13
112,destination.,0.0010206020809740341,1
113,"begun,",0.0010206020809740341,1
114,nobody,-0.0001963843798569597,13
115,stops,-0.0003702984170689661,4
116,"moving,",0.0010206020809740341,1
117,sun,0.00029898754761560056,5
118,still,-0.00022132131911955,127
119,rises,0.0010206020809740341,1
120,sets.,0.0010206020809740341,1
121,hey,1.5113295088278912e-05,32
122,bff,9.242679127055453e-05,1
123,"joan,",9.242679127055453e-05,1
124,have,-0.0001492309150835031,961
125,been,-0.0002345784446756817,262
126,i,-0.00017865923612182764,2888
127,read,-0.00013930396240548998,300
128,interesting,-0.000642657963403053,50
129,man,-0.0004468603130603626,87
130,feel,9.865369529603488e-07,371
131,weird,-0.0006313462347487946,15
132,country,-5.582867690608998e-05,134
133,like,-0.0003865300328450911,566
134,do,-0.00028665841529696453,463
135,now.,-6.554238547048884e-05,30
136,all,-0.0001546716105664272,480
137,these,6.081986825067746e-05,465
138,issues,-0.000433111456521067,52
139,money,-0.0007303592481108823,73
140,being,-0.0001897117740586841,295
141,wasted,1.205057260420973e-05,6
142,what?,-7.765422448263346e-06,8
143,really,-0.0002614121044996691,413
144,nation,-0.0005792499668532652,15
145,much,-0.00024906020580145113,204
146,better,-0.00015689362664187155,101
147,then,-0.00040997977669727555,118
148,this.,-0.00013625532464772206,89
149,hope,0.00034602967158485563,155
150,evolve,9.242679127055453e-05,1
151,become,-0.0001295767877737966,46
152,"friend,you",0.0004972823211013141,1
153,should,-0.00027488491577177995,364
154,.,0.0002315743348721871,45
155,world,-0.0001382679300783853,139
156,full,-0.000200612842343105,20
157,problems.i,0.0004972823211013141,1
158,pity,0.0006954111953458172,2
159,way,-0.00029781289777362183,159
160,some,-0.00027800473869613794,342
161,animals,0.0005565731378299503,101
162,suffer,0.00023266638374604611,19
163,especially,0.00011545567754519299,72
164,war,0.00030084814827343323,70
165,zone,0.001167439571829618,2
166,areas,0.00035833226712240633,26
167,"gaza,libya",0.0004972823211013141,1
168,syria.i,0.0004972823211013141,1
169,wish,-0.00020438309556992834,60
170,could,-0.00024605519501142646,259
171,something,-0.00044612772143559024,204
172,serious,-0.0003295446810546684,28
173,attention,-0.00044022414996174486,21
174,needed,-6.840260327583853e-06,9
175,those,0.0001658844503774788,181
176,zoos.if,0.0004972823211013141,1
177,only,-0.00020945914248605014,154
178,had,-0.0002009716696735456,284
179,powers,0.0005049613270231627,2
180,protection,0.0009564092189201131,12
181,animals.,0.0010387541675541754,27
182,sad,0.0004098279811390987,189
183,see,-0.00020454369930476965,187
184,side,-0.0005136337504953197,27
185,story,-4.7538470331071796e-05,103
186,afghan,0.00028202065758307525,3
187,war.,0.000407584990896274,8
188,things,-0.000365339036545168,193
189,"pond,",-0.00015687017223172005,1
190,good,-0.00031885764844263783,135
191,",",-7.850495032573485e-05,18
192,but,-0.0003854431180362854,730
193,bad,-1.858796975091647e-05,163
194,"do,",-0.0005295767414815739,6
195,country.,-6.946256063011008e-05,51
196,tend,-0.00016747178464557677,14
197,think,-0.0003621060184875856,476
198,"things,",-0.0005541002403630516,17
199,"generalities,",-0.00015687017223172005,1
200,lump,-0.00015687017223172005,1
201,groups,-0.0003434113021575184,15
202,who,-0.00011977785140295698,449
203,live,7.284029480045904e-05,126
204,common,-0.00013814345996265403,16
205,"area,",6.49965787597277e-05,8
206,into,-0.0001958700343261853,169
207,pile,-0.00034106624646312866,4
208,terrorists.,4.5289891653194706e-05,6
209,plenty,-0.0008574504780502442,2
210,afghanistan,0.00029991656275087954,7
211,against,-0.0005998851195208185,69
212,eh,-0.00015687017223172005,1
213,"taliban,",-0.00015687017223172005,1
214,dont,-0.0004915597619946729,27
215,damage,0.0002065324822836409,26
216,doing,-0.0004834638387546328,90
217,by,4.114963270064846e-05,308
218,hitting,6.837589536617847e-05,5
219,them,-4.745706641982291e-05,314
220,drone,0.0001485097047245492,3
221,strikes.,-0.00015687017223172005,1
222,most,-0.00012624661782420886,92
223,casualties,0.0009934485064400178,3
224,wars,0.00014266779052552654,4
225,civilians,0.0006197655178477628,17
226,nothing,-0.0004423474099355564,79
227,conflict,0.0013199423191350913,15
228,itself.,-0.0007493816211995687,3
229,always,-0.0004019243963664772,111
230,conflicting,-0.0007051279979092821,2
231,stories,-9.781035813314487e-06,22
232,death,-6.50754162260938e-05,30
233,tolls.,-0.00015687017223172005,1
234,believe,-0.00043146214737630747,164
235,used,-0.00013736666943785857,53
236,de-escalate,-0.00015687017223172005,1
237,fears,0.0010971522644796195,3
238,"we,",0.0006300568112922318,3
239,"country,",-0.00048115904152028736,24
240,turn,-0.000113824223515067,20
241,very,0.00019984978346110403,227
242,harmful,3.271666041086974e-05,4
243,instead,-0.0002516570484080928,38
244,helpful,0.00048277131359858086,4
245,climate,-0.000502697822622704,68
246,change,-0.00046104000941851416,73
247,already,3.0052050696386958e-05,37
248,evident,0.00048777642444444307,2
249,ecosystems,0.0005979472526363831,4
250,earth.,2.698326994595146e-05,7
251,genes,0.0007268918859320669,2
252,beings,0.001155305363659939,10
253,changing,0.00019609279630079373,4
254,response,0.0008407453875714862,3
255,"changes,",-9.502799540541675e-05,2
256,affecting,0.00022286576663197542,12
257,around,-0.00016490737031257233,81
258,changes,-3.900879310561154e-05,13
259,natural,0.000689095354277706,33
260,means,-0.0003715394316872352,17
261,take,-0.00020762888340216824,167
262,hundred,0.0005004851047575522,3
263,decades,0.0003154986455510501,10
264,"occur,",-0.00022195793466077396,2
265,takes,-0.0004038124022076828,17
266,few,-0.00011647788825406499,40
267,years,-8.132538011448343e-05,63
268,complete.,0.00113298933344898,1
269,disorder,0.0001079819415377238,3
270,affects,7.179222335057841e-05,13
271,whole,-0.00035063344432254066,60
272,relationship,0.00011889960626533697,7
273,"ecosystems,",0.00113298933344898,1
274,discouraging,-0.0003098816454237547,3
275,causing,0.00028680568682161776,21
276,their,-1.497383412174674e-05,590
277,extinction.,0.00041596766854354425,2
278,thank,3.4724157215885955e-05,10
279,goodness,0.0001308070161538429,2
280,presdienttrump,0.00033536284139396835,1
281,hopefully,5.206159005482135e-05,24
282,daca,0.00033536284139396835,2
283,immigration,-0.0006157245546358941,10
284,reform,0.00033536284139396835,1
285,near,-0.00017306983124455193,31
286,future!,0.00033536284139396835,1
287,broken,-7.67215084784804e-05,4
288,law,-0.0005420648067650243,22
289,here,-0.00032534458121000453,80
290,illegally,2.486594765760703e-05,5
291,yet,-0.0004694601679467318,39
292,expect,-0.0003479700383106284,17
293,treated,-0.0002018872564908853,19
294,citizens.,-0.00020539253426704818,8
295,slap,-5.124857538845617e-05,2
296,face,-2.035102968429737e-05,28
297,immigrants,-0.00017589720057264915,15
298,followed,0.00033536284139396835,1
299,went,-0.00032103441772426587,43
300,through,0.0001709379317574955,99
301,process,0.0001427722644777102,15
302,legal,-0.0006247623169954777,11
303,liberals,-0.0013605278122086777,10
304,adjusting,0.00033536284139396835,1
305,well,-0.00011804791604028505,74
306,defeat,-0.000782139377507873,3
307,hillary,-0.0006929951180420715,9
308,-,-0.0006181118624214206,42
309,crying.,0.00033536284139396835,1
310,"hey,",-0.00010721134405018461,33
311,check,-0.00017367694008729398,25
312,ptsd.,0.0013076892097716097,1
313,veterans,0.0007353274672963058,3
314,experience,0.0002846080800820141,24
315,result,0.0004545195704793262,14
316,vietnam,0.0013076892097716097,2
317,someone,-0.00045799613746725834,145
318,fought,0.0004812997809798602,4
319,he,-0.0004741025110657476,472
320,seen,-0.00039043380531394306,34
321,other,-0.00025286184709451184,197
322,soldiers,0.000532183118007102,11
323,diagnosed,0.0009156778796187995,3
324,it's,-0.0004763094936980309,418
325,go,-0.00013864961331442707,150
326,so,-7.539095209980516e-05,727
327,trauma,7.05301304158657e-05,5
328,disgust,0.0005893899502497153,2
329,increasing,-0.00027298105785243524,6
330,rate,-0.0002539087458304993,8
331,mental,-0.00014418784239840425,34
332,health,4.447551048470103e-05,63
333,"issue,",-0.000266677746754176,7
334,worry,-0.0001773501822187036,34
335,even,-0.0001766398563158914,240
336,more.,9.083257095057225e-05,10
337,don't,-0.0004899756393180293,321
338,care,3.169308297625294e-05,104
339,read.,-0.0001989634265341067,18
340,didn't,-0.0006609750988746183,87
341,any,-0.00034890293915462587,165
342,sort,-0.0004867498253676866,39
343,"emotions,",-0.000908514811982665,1
344,i'm,-0.0006711460302111856,178
345,forced,0.0002433212468174942,22
346,fill,-0.0014161744833086232,3
347,box.,-0.0002655141424641746,3
348,boredom,-0.000908514811982665,1
349,emotion?,-0.000908514811982665,1
350,felt,0.00019417608402974668,38
351,while,-0.0002629877807563459,94
352,massive,-0.000976007831395672,10
353,wall,-0.000826708745231978,5
354,text.,-0.000908514811982665,1
355,stuff,-0.0007432412606415484,26
356,economy,5.187662094023704e-05,9
357,businesses,-0.00043911430660235353,9
358,anything,-0.000548923493553956,73
359,worth,-4.521515001156236e-05,12
360,feeling,1.7603699385209852e-05,28
361,over.,-0.0002156438144932022,6
362,also,1.2241352157148422e-05,170
363,worrying,-8.709376371441662e-05,11
364,when,-0.00018478179606306125,299
365,yourself.,-0.00023635295983334955,6
366,breaks,0.00031208889674052404,8
367,heart.,0.00032593314191778214,5
368,"mean,",-0.0003191900478509352,22
369,there's,-0.0006610892253316669,42
370,trouble,-5.916763601437146e-05,15
371,"everywhere,",0.0002498717515845783,4
372,absolutely,-0.00032285927793260656,19
373,"hope,",0.0011461619274341452,4
374,united,-8.708602560470324e-05,34
375,states,-0.00045168740104809115,26
376,caused,-4.675758111327023e-06,31
377,"this,",-0.00041260352537617225,29
378,share,0.0002065720161212696,28
379,responsibility.,0.00015606331586430616,2
380,going,-0.0003216274120059806,253
381,look,-0.0006463903913285229,56
382,which,-0.0002647885306414649,98
383,refugee,0.0010902111566611502,11
384,organizations,3.836275724855418e-05,8
385,trying,-0.00021720838142955543,122
386,"help,",0.0007391171638572302,4
387,gather,-0.00032939548849071805,2
388,donation,0.0002646541306827999,4
389,information.,0.000156842477767943,5
390,in?,0.0001476990631843162,3
391,i'll,-0.00012295176838688352,5
392,if,-0.00037623997643491594,403
393,alan,0.0006083481882084621,1
394,wants,-0.0004938878257207119,24
395,bring,0.00021191209950941243,28
396,"church,",0.0006083481882084621,1
397,too.,-0.00029381564778462917,24
398,supposedly,-0.0007531974089167004,5
399,lot,-0.0002750125538180859,134
400,unrest,-0.0005062436262594853,4
401,ethiopia,-0.0008089851228745222,1
402,right,-0.00032471235226054414,102
403,now,3.9637469513628294e-05,140
404,over,-0.00024632800515564905,186
405,appropriation,-0.0008089851228745222,1
406,land,0.00035034981215644796,24
407,government,-0.00044064102934116423,87
408,protest.,-0.001192286112416674,7
409,thought,-0.00020911125698031674,72
410,were,-0.00012070041047262832,295
411,growing,0.00030322325299996953,11
412,guess,-0.0005742107583731539,61
413,ceased,-0.0008089851228745222,1
414,its,-0.00022198632440239085,154
415,unbelievable,-0.0003683292471754385,6
416,on,-0.0002486832871214594,663
417,aware,-0.00017382078128345892,18
418,whats,-2.3592293931642413e-05,4
419,on.,-0.0005793692800351563,18
420,terrible,0.0004028668175973345,61
421,"terrorism,",-0.0002762013497969444,2
422,couldn't,-0.00014500648304625318,19
423,imagine,0.0004591463306834277,112
424,fear,2.8748921945685644e-05,32
425,living.,1.4100489859932475e-05,2
426,homes,0.000510636922880091,15
427,threats,8.951256845951621e-05,4
428,death.,0.0006201227096188079,14
429,conditions,0.00020874063209091583,25
430,area,0.0003114020906636246,32
431,terrible.,0.00046018003057221016,11
432,they're,-0.0004975115881848414,53
433,low,-0.000566881312451945,10
434,supplies,0.001187083836802761,2
435,including,0.00021253825988385764,23
436,food.,0.0004502962456835904,12
437,prices,0.00010933810618884841,8
438,everything,-0.00025939110606809136,41
439,inflated,0.0005247800449584854,2
440,can't,-0.00013359006878501563,170
441,afford.,0.0007217950188654262,1
442,literally,0.0002602876688016901,12
443,cannot,-2.4430839123860533e-05,62
444,place,-0.00021619612010127546,73
445,others,-0.00033947567680457663,48
446,senseless,0.0005561894441932834,7
447,killings,5.755842230453507e-05,3
448,"already,",0.0007217950188654262,1
449,would,-0.0003567787694190045,403
450,family,0.0007331554402117664,97
451,myself!,0.0007217950188654262,1
452,innocent,-4.490923124571735e-05,38
453,customer.,-0.0010055979789224997,1
454,unfortunate,0.00011868573653743124,26
455,random,-0.0007489748872391211,12
456,freak,-0.0003645391349914462,4
457,incident.,-9.304876093332509e-05,8
458,declined,-0.0010931846318190865,3
459,card,-0.0011950997677649866,3
460,got,-0.0004543946490751017,79
461,upset,-0.0003901664099079653,25
462,people.,-0.00022893346468412875,93
463,shocking,-0.00031046764442375316,9
464,anger,1.1964194790697506e-05,8
465,that.,-0.0001949889658500633,45
466,shot,-0.0006954503409210616,53
467,normal,-0.0002257393856222241,8
468,get,-0.00032350953758530926,311
469,coffee,-0.00033800053906504025,19
470,his,-0.0001559460156039945,242
471,loved,0.0005002141298562837,18
472,ones,2.3903422060686e-05,34
473,him,-0.0004763671432011379,96
474,more,-0.00015234161727874167,388
475,worked,2.015401020506775e-05,12
476,card.,-0.0010055979789224997,1
477,need,3.626079288079131e-05,216
478,security,-0.00021468052642785592,19
479,every,-0.0003828781016714605,75
480,where,-0.0002041540971864451,147
481,nowadays,-0.0007909040075943826,4
482,seems.,-0.0008669032199395588,2
483,safe,0.00020584246523137437,47
484,go.,-0.00045180967974843604,12
485,shop,-0.0010055979789224997,1
486,without,-6.889767390974001e-05,63
487,pull,-0.00025032759843630475,11
488,gun,-0.000713069809274676,30
489,you.,-0.00035039167825800637,24
490,why,-0.0004666403163639844,155
491,am,5.581324461370515e-05,188
492,ignorant,-0.0006489005451347415,4
493,comes,-0.0003142129370312529,27
494,politics.,-0.0011697170148015975,9
495,reread,-0.0006278746319678892,2
496,3,-4.838318711152725e-05,12
497,times,3.815036562674898e-05,23
498,try,-0.00013113298206420448,64
499,figure,-0.00014332908026474904,16
500,talking,-0.0005383079363102864,32
501,trump,-0.0011539024155446645,116
502,jobs,-0.00027029624200955265,10
503,discrimination,-0.0008238860737286209,5
504,racism,-0.0010239875508228544,13
505,three,0.00014438766300661323,32
506,gibberish.,-0.0011720674984280776,1
507,politics,-0.0005677156665399029,17
508,or,-0.0001920962359854774,432
509,understand,-0.0002684724551218403,89
510,it.,-0.0003845648851355141,168
511,agree,-0.0006216390762871176,31
512,antics,-0.0011720674984280776,1
513,policies.,-0.0003577016895693911,3
514,sure,-0.00044885894187426527,120
515,he's,-0.0008229604768301696,17
516,selfish,0.00014189043372754087,6
517,moron,-0.001150979061332767,2
518,feel?,-0.0004142202513505329,2
519,"everyone,",0.0003125092942684659,2
520,please,0.00023143108729349626,25
521,this!,-0.00022404880547727165,5
522,she,-2.6383334633229124e-05,239
523,appears,-0.00023577829017832692,7
524,her,0.00024496645109070374,225
525,late,8.500239404732686e-05,5
526,60s,-2.306899356957124e-05,2
527,early,-0.00017201705626702173,15
528,"70s,",0.000787152247009241,1
529,"6'0"",",0.000787152247009241,1
530,"175lbs,",0.000787152247009241,1
531,gray,0.000787152247009241,1
532,hair.,0.000787152247009241,1
533,easily,-0.0006029842164223116,17
534,someone's,-0.0004159794369676157,7
535,grandmother,0.0008040961176069237,3
536,"mom,",0.00095181654086673,2
537,worried,-0.00024681637408384535,31
538,sick,-4.916312924216525e-06,26
539,her.,0.00016730265963490844,16
540,outfit,0.000787152247009241,1
541,sounds,-0.0002968156963908657,34
542,may,-3.101984749709647e-05,86
543,retirement,0.000787152247009241,1
544,home,0.00041956367750764853,26
545,similar.,-0.00025278059966998026,2
546,want,-0.0002794196930656594,138
547,help,0.0003601582838382599,143
548,"home,",0.0008902017667974723,4
549,within,0.0004602113245903815,12
550,maybe,-0.0004250132572770118,79
551,back,-0.00020514424636756937,78
552,family.,0.00047061440931897255,26
553,crazy,-0.0006811960249374498,61
554,intense,-2.253286861660955e-05,6
555,situations,1.2405301086602082e-05,16
556,happening,-0.00027578835142183614,55
557,usa,0.0004215937985996258,4
558,made,-0.0002441710522464095,86
559,passed,0.00022718510147248151,19
560,first,-0.00013712997350745867,57
561,round,-0.0008112980397545044,2
562,voice,-0.0003063337325122954,2
563,latest,-4.578590138407889e-05,4
564,viral,-0.0004092232016428928,2
565,videos.,-0.00029708075659223073,3
566,fact,-0.00020578969861195816,53
567,extremists,-0.00029730708340726625,4
568,using,-0.000602062961673315,36
569,shields,0.0008304638021846244,8
570,cowardly,0.00029337817229020403,2
571,shows,-0.00035962280339635306,33
572,honor,-0.0001696337765745663,4
573,ever.,-0.0003528389475487378,2
574,cherish,0.0005761303463375593,4
575,works,-0.0001333681347077073,6
576,police,-0.00044290875228778106,92
577,force,-0.000607367614886521,19
578,offers,0.00023862677535817057,1
579,day.,-0.00011553972581157587,24
580,sleep,0.00011903428523817627,28
581,"night,",0.00026829756347019105,3
582,officers,-0.00042892842806838106,25
583,patrol,-0.000445631924439643,2
584,down,-0.0001408873043719202,80
585,streets,0.000156600114452068,7
586,neighborhoods,-0.00010188159010870853,2
587,making,-0.0005617498275314754,53
588,sound.,0.00023862677535817057,1
589,serve,0.0002953542892141446,9
590,enforcement.,-0.0005654400753637627,2
591,saddened,0.0011162060649534203,11
592,hear,9.634375599733439e-05,94
593,chinese,0.0008876726580073561,2
594,military,0.00039918294290482105,26
595,fighter,0.000936629469867272,6
596,pilot,0.0003897216842084895,6
597,killed,0.00011593388838797027,94
598,training,0.0005696180982807973,6
599,exercise,-0.0002868152577870357,2
600,recently.,-0.00030294343039220925,4
601,unclear,-7.034704452545762e-05,2
602,cause,-0.00016053825074577833,52
603,crash,0.0004393201317589889,9
604,"was,",-0.0005653376426299575,6
605,certainly,4.427991124534215e-05,18
606,tragedy,0.00046354562259715975,17
607,involved,-5.523469729964627e-06,42
608,regardless.,-2.092237267703466e-05,2
609,horrifying,0.0007315687211481266,7
610,time,-0.00020144736981230106,160
611,put,-0.000307293359817086,71
612,learning,0.000758366317133784,6
613,aircraft,0.0003662841362019106,3
614,wouldn't,-0.0005324362316272599,22
615,enough,-0.00019460458268707087,71
616,keep,-2.654027974277228e-05,54
617,safe.,0.0001879177726634395,10
618,general,-2.7910872998345338e-05,16
619,rule,-0.00034624094383199617,6
620,thumb,0.0002756756271719496,1
621,healthy,0.00012690910411066624,8
622,minimum,-4.683816893399722e-06,2
623,eight,1.324625899138082e-05,3
624,hours,-0.00048129546627689233,9
625,night.,1.432156199712152e-05,3
626,"more,",-0.00034367757218082,6
627,along,-0.00019958964896111308,20
628,"less,",0.0002756756271719496,1
629,everyone,-0.00037886690897589396,60
630,else,-0.0007157284836660263,27
631,function,-0.0001377846775873574,2
632,effectively,0.0005179075948624738,2
633,everyday,-7.558120206721242e-05,10
634,activities.,0.0006802458296275896,2
635,"work,",-0.00019805408776619516,6
636,guide,0.0002756756271719496,1
637,"sleep,",0.0002756756271719496,2
638,national,0.0005810929480402395,13
639,institutes,-0.00016015682279771682,2
640,pointed,-0.0004270159165869498,3
641,important,0.0002183230552002339,47
642,"existence,",0.0002756756271719496,1
643,one-third,0.0002756756271719496,1
644,person’s,0.00022691376384500472,4
645,spent,-0.0003490617038124929,8
646,(1).,0.0002756756271719496,1
647,"disorders,",0.00022064291215807922,2
648,biological,0.0002287769059565411,3
649,"rhythms,",0.0002756756271719496,1
650,amlaner,0.0002756756271719496,1
651,"said,",-0.0003701360198598043,9
652,“sleep,0.0002756756271719496,1
653,"activity,",0.0002756756271719496,1
654,option”,0.0002756756271719496,1
655,(19).,0.0002756756271719496,1
656,during,0.0003398256226745564,30
657,body,0.00013357205506452443,18
658,opportunity,0.00020240901262608208,8
659,recuperate,0.0002756756271719496,1
660,activities,0.00023835776276814614,5
661,recuperation,0.0002756756271719496,1
662,goes,-0.00020549406735656203,32
663,tha,-2.068924036867278e-05,2
664,damaging,-2.913180397034588e-05,8
665,amazon,0.0005141363512740326,6
666,rain,0.00012407213948241255,4
667,"forest,",0.0005337556049300929,2
668,iconic,0.0013224812351518265,2
669,well-known,0.0003815421788567619,1
670,forests,0.00022928637364945338,5
671,known,1.331809793893362e-05,19
672,"man,",-8.039740817233427e-05,15
673,oil,-4.5038681597627444e-05,32
674,simply,-0.0002608964604668863,27
675,inexcusable.,0.0003815421788567619,1
676,us's,0.0003815421788567619,1
677,hunt,0.0009399574631260697,6
678,crude,0.0003815421788567619,1
679,coming,-8.902184933998929e-05,21
680,disastrous,-8.408111163589639e-05,4
681,consequences,0.00015890137501024524,12
682,rectified.,0.0003815421788567619,1
683,tearing,0.00028248722684187064,2
684,"trees,",0.0003815421788567619,1
685,hurtful,0.00011649267352784894,2
686,greenhouse,0.00011318112356320852,2
687,gases,0.0003815421788567619,1
688,rising,0.001059521557630837,3
689,"air,",0.0003815421788567619,1
690,air,-0.0001001066175896699,28
691,quality,-4.885462646432014e-05,13
692,us.,-2.3139451628114595e-05,22
693,corporations,-0.0006660285818076469,5
694,shouldn't,-0.00011785933150501174,19
695,able,0.00017624415575882952,74
696,hurt,-0.00010352206959839594,36
697,environment,7.160279982397998e-05,33
698,angry.,0.0003815421788567619,1
699,types,0.00023134474158697371,13
700,virus,-1.746230129006675e-05,20
701,spreading,0.0007431789046926143,6
702,population,0.0006464200614086999,15
703,today.,-0.00022542739015074176,10
704,recently,0.0003704157991781879,13
705,zika,-0.00027216672151681115,20
706,found,0.00012585532414627012,66
707,ways,-4.7609181227848664e-05,19
708,person.,-0.00040935901633657563,10
709,host,0.0007984397508508639,3
710,carriers.,0.0008437263345837209,1
711,problem,-0.0003614434046425999,70
712,concerning,-0.0004302148568913958,7
713,young,0.00048307230476515373,39
714,old.,0.0006521956932191104,4
715,seems,-0.0005394166606932402,155
716,pregnant,0.0006036828604512343,5
717,woman,-6.877254457027279e-05,41
718,susceptible,0.0006170285499542652,2
719,well.,-0.00013085923929644853,43
720,shame,-0.00038764825264930804,28
721,refugees,0.0006991614359708015,27
722,does,-0.000470030283373068,55
723,stop,-0.00014809351268922608,71
724,becoming,-0.00014059501080411423,27
725,ideal,-0.00042622013932259507,3
726,everyone.,-0.0002625934146547908,6
727,"however,",-0.0004670874455546013,22
728,let,-0.00016534346018426494,67
729,begin,-0.00020752367739486423,11
730,lose,-7.86108987515723e-05,39
731,sense,-0.00036161244686043167,16
732,stable.,-0.0004266719349597044,2
733,sacrifice,-0.0002962215564798498,1
734,completely,-0.00028526681179673124,40
735,sorry,0.0003335517400806206,33
736,sucks,-0.0005538781209197693,11
737,run,-0.00029648968853163767,14
738,morons.,-0.000619057412834915,2
739,concerned,-4.079785352842552e-05,16
740,fear.,-0.0006172162132656922,1
741,leave,-9.080547360348473e-05,35
742,situation,3.0938676705643285e-06,78
743,entirely.,-0.0006172162132656922,1
744,working,-0.00015411445682563581,38
745,"out,",-0.0003770073744247308,13
746,seeing,-0.00015551275809888427,17
747,happens.,-0.000662860142008244,9
748,"threatened,",-0.0007155486117801816,3
749,leave!,-0.0006172162132656922,1
750,drop,0.0001549770295825207,6
751,everything.,-0.00031748070482327275,8
752,mostly,4.786300968476101e-05,14
753,either,-0.0004987344583853457,27
754,"how,",-0.0003751848820915408,2
755,lesser,-0.0003314671463298661,2
756,lifestyle,-0.0003992323782712977,4
757,than,-0.00011046882573743612,155
758,accustomed,-0.0002084747665605846,2
759,to.,-0.0002153562716975759,9
760,kids,-0.0001351722360027832,81
761,away,-0.0001422401265538482,54
762,"skills,",-0.0006172162132656922,1
763,by.,-0.0006172162132656922,1
764,ok.,-0.000505928503387799,3
765,"don't,",-0.00028557451324445537,2
766,usually,-0.0005751942756653358,13
767,due,0.00013700608993145717,50
768,wrong,-0.0004442178318716866,36
769,choices.,-0.0006172162132656922,1
770,taking,-0.0003917583446081667,53
771,easy,-0.0004027067431958642,29
772,out.,-0.0003666952663746381,36
773,free,-0.00021380452321549619,20
774,"choices,",-0.0006172162132656922,1
775,live.,-6.423052443357884e-05,9
